loca_2,representative_point_lat,representative_point_lng
MICA CREEK,-20.7634282,139.49250709464678
MIDDLE PARK,-27.556304265,152.92184745037363
MIDDLE RIDGE,-27.60813203,151.96632996008137
MIDDLEBROOK,-17.56305996,145.63970555334373
MIDDLEMOUNT,-22.856691755,148.60584766923682
BAUHINIA,-24.558665689999998,149.34458999349627
MIDDLETON,-22.676620775,141.58608176154547
MIDGE POINT,-20.656644229999998,148.68922989007348
MIDGEE,-23.49612302,150.59481794498447
MIDGENOO,-17.896661635,145.96103682965938
MIDGEREE BAR,-17.8065214,146.07350030876154
MIGHELL,-17.539355395,146.02379762039652
MILBONG,-27.884133329999997,152.73116021830555
MILES,-26.729652785,150.15196313876507
MILES END,-20.721290885000002,139.4876162711103
MILFORD,-28.03117699,152.71161425090378
BAUPLE,-25.81638709,152.61288389768802
MILLAA MILLAA,-17.49397425,145.63046195567352
MILLAROO,-20.052796354999998,147.27853991579127
MILLBANK,-24.874342759999998,152.3201087845345
MILLCHESTER,-20.092689525,146.27947833809952
MILLMERRAN,-27.87865542,151.25417368745605
MILLMERRAN DOWNS,-27.988797055,151.0614038690256
MILLMERRAN WOODS,-28.019290635,151.04378280564802
MILLSTREAM,-17.624799615,145.36524290822817
